image,gain
green1,450
green2,495
green3,540
green4,585
green5,630
green6,675
green7,720
green8,765
green9,810
green10,855
green11,900
blue1,400
blue2,435
blue3,470
blue4,505
blue5,540
blue6,575
blue7,610
yellow1,550
yellow2,585
yellow3,620
yellow4,655
yellow5,690
yellow6,725
yellow7,760
red1,525
red2,560
red3,595
red4,630
red5,665
red6,700
red7,735
